page;section;hero_id;page_type;has_text_layer;image_count;needs_ocr;needs_review;review_reasons;visual_page_type;visual_features;visual_confidence;visual_review_required;visual_notes;note
1;front-matter;;cover_title;True;4;False;False;;;;;;;Титульный лист: ПИСЬМА ПАМЯТИ ТОМ I
2;front-matter;;imprint;True;1;False;False;;;;;;;Титул с выходными данными (издано по инициативе АНО)
3;front-matter;;participants_list;True;1;False;False;;;;;;;Список участников акции: субъекты РФ
4;front-matter;;official_document;True;1;False;False;;;;;;;Указ Президента РФ о Годе народного единства
5;front-matter;;greeting_letter;True;2;False;False;;;;;;;Обращение к юным авторам (вводное письмо)
6;front-matter;;greeting_letter;True;2;False;False;;;;;;;Обращение к юным авторам (вводное письмо)
7;front-matter;;greeting_letter;True;1;False;False;;;;;;;Обращение от Ассамблеи Народов Мира
8;front-matter;;news_block;True;3;False;False;;;;;;;Награждение в Министерстве обороны РФ, 9 июня 2025
9;front-matter;;dialogue_intro;True;2;False;False;;;;;;;Диалог Героя Соцтруда А. А. Макарычева с сыном Героя СВО
10;front-matter;;greeting_letter;True;1;False;False;;;;;;;Обращение от движения «Сенежский форум»
11;front-matter;;greeting_letter;True;1;False;False;;;;;;;Обращение к юным авторам, о Годе народного единства
12;heroes;hero-001;hero_title;True;4;False;False;;;;;;;МОЯ МАМА АНАСТАСИЯ ИГОРЬ Волгоградская область г. Волгоград
13;heroes;hero-001;hero_scan_page;False;4;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);photo_collage;has_multiple_photos | has_portrait | has_child_art;0.85;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
14;heroes;hero-001;hero_scan_page;False;1;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);handwritten_letter;has_handwriting;0.9;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
15;heroes;hero-002;hero_title;True;5;False;True;authors_not_parsed;person_opener;has_coat_of_arms | has_map;0.9;True;editorial_issue:eq-008 (имена авторов смешанным регистром);НАШ ОТЕЦ ИГОРЬ Назар и Элина Донецкая Народная Республика г. Новосибирск
16;heroes;hero-002;hero_scan_page;False;3;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);photo_collage;has_multiple_photos | has_child_art | has_medal_or_award;0.8;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
17;heroes;hero-002;hero_scan_page;False;5;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);mixed_material;has_handwriting | has_child_art | has_family_photo;0.75;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
18;heroes;hero-002;hero_scan_page;False;2;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);handwritten_letter;has_handwriting;0.9;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
19;heroes;hero-003;hero_title;True;4;False;False;;;;;;;НАШ ОТЕЦ ВЯЧЕСЛАВ РУСЛАН, КАМИЛЛА, САБИНА Новосибирская область г. Новосибирск
20;heroes;hero-003;hero_scan_page;False;4;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);photo_collage;has_family_photo | has_multiple_photos;0.85;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
21;heroes;hero-003;hero_scan_page;False;1;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);handwritten_letter;has_handwriting;0.9;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
22;heroes;hero-003;hero_scan_page;False;1;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);handwritten_letter;has_handwriting;0.9;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
23;heroes;hero-003;hero_scan_page;False;1;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);handwritten_letter;has_handwriting;0.9;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
24;heroes;hero-004;hero_title;True;4;False;False;;;;;;;МОЙ ОТЕЦ НИКОЛАЙ МИХАИЛ Республика Хакасия г. Абакан
25;heroes;hero-004;hero_scan_page;False;3;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);mixed_material;has_handwriting | has_family_photo;0.75;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
26;heroes;hero-005;hero_title;True;4;False;False;;;;;;;МОЙ ОТЕЦ ЕВГЕНИЙ ИВАН Новосибирская область г. Новосибирск
27;heroes;hero-005;hero_scan_page;False;3;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);photo_collage;has_family_photo;0.85;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
28;heroes;hero-005;hero_scan_page;False;1;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);handwritten_letter;has_handwriting;0.9;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
29;heroes;hero-006;hero_title;True;4;False;False;;;;;;;НАШ ОТЕЦ АЛИМАМЕД РУСЛАН, МУРАД Новосибирская область г. Новосибирск
30;heroes;hero-006;hero_scan_page;False;2;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);photo_collage;has_family_photo | has_medal_or_award;0.85;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
31;heroes;hero-006;hero_scan_page;False;1;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);mixed_material;has_handwriting | has_official_symbols;0.7;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
32;heroes;hero-007;hero_title;True;4;False;False;;;;;;;МОЙ ОТЕЦ АЛМАТ АДЕЛИНА Оренбургская область г. Оренбург
33;heroes;hero-007;hero_scan_page;False;3;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);photo_collage;has_medal_or_award | has_family_photo;0.85;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
34;heroes;hero-007;hero_scan_page;False;2;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);mixed_material;has_family_photo | has_handwriting;0.75;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
35;heroes;hero-008;hero_title;True;4;False;False;;;;;;;НАШ ОТЕЦ ЯКОВ ИВАН, АЛИНА Республика Хакасия г. Абакан
36;heroes;hero-008;hero_scan_page;False;3;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);photo_collage;has_family_photo;0.85;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
37;heroes;hero-008;hero_scan_page;False;3;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);mixed_material;has_family_photo | has_handwriting;0.75;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
38;heroes;hero-009;hero_title;True;4;False;False;;;;;;;НАШ ОТЕЦ ЕГОР УЛЬЯНА, ЕКАТЕРИНА, ТИХОН Карачаево - Черкесская республика г. Черкесск
39;heroes;hero-009;hero_scan_page;False;2;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);photo_collage;has_family_photo;0.8;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
40;heroes;hero-009;hero_scan_page;False;2;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);mixed_material;has_family_photo | has_handwriting;0.8;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
41;heroes;hero-010;hero_title;True;4;False;False;;;;;;;МОЙ ОТЕЦ АЛЕКСЕЙ ПОЛИНА Нижегородская область г. Нижний Новгород
42;heroes;hero-010;hero_scan_page;False;3;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);photo_collage;has_medal_or_award | has_family_photo;0.85;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
43;heroes;hero-010;hero_scan_page;False;2;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);mixed_material;has_handwriting | has_family_photo | has_low_readability;0.9;False;"тёмные/малоконтрастные фото | previous: page_type=mixed_material, confidence=0.6 | Полноразмерный просмотр: фото сверху + письмо снизу; уверенность повышена с 0.6";Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
44;heroes;hero-011;hero_title;True;4;False;False;;;;;;;НАШ ОТЕЦ АНДРЕЙ ДАМИАН, ВИТАЛИНА, ЭМИЛИЯ, НИКИТА Карачаево - Черкесская республика г. Черкесск
45;heroes;hero-011;hero_scan_page;False;2;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);photo_collage;has_medal_or_award | has_family_photo;0.85;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
46;heroes;hero-011;hero_scan_page;False;3;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);photo_collage;has_family_photo | has_multiple_photos;0.85;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
47;heroes;hero-011;hero_scan_page;False;1;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);handwritten_letter;has_handwriting;0.9;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
48;heroes;hero-012;hero_title;True;4;False;False;;;;;;;НАШ ОТЕЦ ВИКТОР ВАРВАРА, АРИНА Псковская область г. Псков
49;heroes;hero-012;hero_scan_page;False;3;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);photo_collage;has_medal_or_award | has_family_photo;0.85;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
50;heroes;hero-012;hero_scan_page;False;2;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);mixed_material;has_family_photo | has_handwriting;0.75;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
51;heroes;hero-013;hero_title;True;4;False;False;;person_opener;has_medal_or_award | has_coat_of_arms | has_map;0.9;True;"editorial_issue:eq-006 — на самом рендере слайда видна ТОЛЬКО усечённая надпись «г.Санкт- Петербур»; полный вариант «г. Санкт-Петербург» в текстовом слое не виден на изображении -> вероятно скрытый/второй текстбокс";НАШ ОТЕЦ ВАДИМ ТИМУР, ЛЕОНИД, ГЕРМАН, ОЛЕГ, РАДА, РАДОМИР г. Санкт- Петербур г. Санкт-Петербург
52;heroes;hero-013;hero_scan_page;False;3;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);photo_collage;has_family_photo | has_medal_or_award | has_multiple_photos;0.85;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
53;heroes;hero-013;hero_scan_page;False;4;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);photo_collage;has_medal_or_award | has_multiple_photos;0.85;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
54;heroes;hero-013;hero_scan_page;False;1;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);handwritten_letter;has_handwriting;0.9;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
55;heroes;hero-014;hero_title;True;4;False;False;;;;;;;НАШ ОТЕЦ ЕВГЕНИЙ АГАТА, МАКАР, ТАИСИЯ, ЯРОСЛАВА Курганская область г. Курган
56;heroes;hero-014;hero_scan_page;False;3;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);photo_collage;has_family_photo | has_multiple_photos;0.85;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
57;heroes;hero-014;hero_scan_page;False;2;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);photo_collage;has_family_photo;0.85;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
58;heroes;hero-014;hero_scan_page;False;1;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);child_drawing;has_child_art;0.9;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
59;heroes;hero-014;hero_scan_page;False;1;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);handwritten_letter;has_handwriting;0.8;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
60;heroes;hero-014;hero_scan_page;False;1;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);handwritten_letter;has_handwriting;0.9;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
61;heroes;hero-015;hero_title;True;4;False;False;;;;;;;НАШ ОТЕЦ ИЛЬЯ КСЕНИЯ, ЕЛИЗАВЕТА Нижегородская область г. Нижний Новгород
62;heroes;hero-015;hero_scan_page;False;4;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);photo_collage;has_medal_or_award | has_family_photo;0.85;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
63;heroes;hero-015;hero_scan_page;False;1;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);handwritten_letter;has_handwriting;0.9;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
64;heroes;hero-016;hero_title;True;4;False;False;;person_opener;has_coat_of_arms | has_map;0.9;True;editorial_issue:eq-003 — блок героя (hero-016) состоит ТОЛЬКО из этой титульной страницы, материалов нет (следующая страница — уже титул hero-017);МОЙ ОТЕЦ АЛЕКСАНДР ИРИНА Красноярский край г. Красноярск
65;heroes;hero-017;hero_title;True;4;False;True;duplicate_title_text_of_page_64 (возможен дубль страницы или неисправленный шаблон);person_opener;has_coat_of_arms | has_map;0.9;True;"editorial_issue:eq-003 — визуально идентична p.064 (тот же текст, герб, карта); visually_confirmed_duplicate";МОЙ ОТЕЦ АЛЕКСАНДР ИРИНА Красноярский край г. Красноярск
66;heroes;hero-017;hero_scan_page;False;3;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);photo_collage;has_family_photo;0.85;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
67;heroes;hero-017;hero_scan_page;False;1;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);handwritten_letter;has_handwriting;0.9;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
68;heroes;hero-018;hero_title;True;4;False;False;;;;;;;МОЙ ОТЕЦ АНДРЕЙ ЕЛИЗАВЕТА Челябинская область г. Челябинск
69;heroes;hero-018;hero_scan_page;False;3;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);handwritten_letter;has_handwriting;0.85;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
70;heroes;hero-019;hero_title;True;4;False;False;;;;;;;МОЙ ОТЕЦ АНАТОЛИЙ НИКИТА Ярославская область г. Ярославль
71;heroes;hero-019;hero_scan_page;False;3;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);photo_collage;has_family_photo;0.85;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
72;heroes;hero-019;hero_scan_page;False;1;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);handwritten_letter;has_handwriting;0.9;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
73;heroes;hero-020;hero_title;True;4;False;False;;;;;;;НАШ ОТЕЦ БУЛАТ ТИМУР, ДИЯР Астраханская область г. Астрахань
74;heroes;hero-020;hero_scan_page;False;3;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);photo_collage;has_family_photo;0.85;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
75;heroes;hero-020;hero_scan_page;False;1;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);handwritten_letter;has_handwriting;0.85;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
76;heroes;hero-021;hero_title;True;4;False;False;;;;;;;МОЙ ОТЕЦ АЛЕКСИ РУСЛАН Республика Адыгея г. Майкоп
77;heroes;hero-021;hero_scan_page;False;4;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);photo_collage;has_family_photo | has_multiple_photos;0.85;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
78;heroes;hero-021;hero_scan_page;False;1;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);handwritten_letter;has_handwriting;0.9;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
79;heroes;hero-022;hero_title;True;4;False;False;;;;;;;МОЙ ОТЕЦ СЕРГЕЙ СОФИЯ Курганская область г. Курган
80;heroes;hero-022;hero_scan_page;False;3;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);photo_collage;has_family_photo;0.85;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
81;heroes;hero-022;hero_scan_page;False;1;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);handwritten_letter;has_handwriting;0.9;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
82;heroes;hero-023;hero_title;True;4;False;False;;;;;;;МОЙ ОТЕЦ ДМИТРИЙ ПАВЕЛ Курганская область г. Курган
83;heroes;hero-023;hero_scan_page;False;3;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);portrait;has_portrait;0.7;False;одиночное фото, не коллаж;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
84;heroes;hero-023;hero_scan_page;False;1;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);mixed_material;has_handwriting | has_family_photo;0.75;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
85;heroes;hero-024;hero_title;True;5;False;False;;;;;;;НАШ ОТЕЦ АЛЕКСЕЙ МАРК Красноярский край г. Новосибирск
86;heroes;hero-024;hero_scan_page;False;4;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);photo_collage;has_family_photo | has_multiple_photos;0.85;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
87;heroes;hero-024;hero_scan_page;False;1;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);handwritten_letter;has_handwriting;0.9;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
88;heroes;hero-025;hero_title;True;4;False;False;;;;;;;НАШ ОТЕЦ САЛАМ ХАДИЖА, КАМИЛЛА, ЗАИРА Республика Ингушетия г. Магас
89;heroes;hero-025;hero_scan_page;False;4;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);photo_collage;has_family_photo | has_multiple_photos;0.85;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
90;heroes;hero-025;hero_scan_page;False;1;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);handwritten_letter;has_handwriting;0.9;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
91;heroes;hero-026;hero_title;True;4;False;False;;;;;;;НАШ ОТЕЦ АЛЕКСАНДР УЛЬЯНА, ИЛЬЯ Новосибирская область г. Новосибирск
92;heroes;hero-026;hero_scan_page;False;4;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);mixed_material;has_family_photo | has_child_art;0.7;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
93;heroes;hero-026;hero_scan_page;False;1;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);portrait;has_family_photo;0.75;False;одиночное фото: девочка с портретом героя;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
94;heroes;hero-026;hero_scan_page;False;1;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);handwritten_letter;has_handwriting;0.85;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
95;heroes;hero-027;hero_title;True;4;False;False;;;;;;;МОЙ ОТЕЦ АЛЕКСАНДР ЕГОР Республика Хакасия г. Абакан
96;heroes;hero-027;hero_scan_page;False;3;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);photo_collage;has_family_photo | has_official_symbols;0.75;False;мемориальный баннер/билборд;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
97;heroes;hero-027;hero_scan_page;False;1;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);handwritten_letter;has_handwriting;0.7;False;короткая записка;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
98;heroes;hero-028;hero_title;True;4;False;False;;;;;;;НАШ ОТЕЦ ТАЛГАТ САФИЯ, ДИАНА Волгоградская область г. Волгоград
99;heroes;hero-028;hero_scan_page;False;3;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);photo_collage;has_medal_or_award | has_family_photo | has_multiple_photos;0.85;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
100;heroes;hero-028;hero_scan_page;False;4;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);photo_collage;has_family_photo | has_multiple_photos;0.85;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
101;heroes;hero-028;hero_scan_page;False;2;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);photo_collage;has_family_photo;0.85;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
102;heroes;hero-028;hero_scan_page;False;1;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);handwritten_letter;has_handwriting;0.9;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
103;heroes;hero-029;hero_title;True;4;False;False;;;;;;;НАШ ОТЕЦ АЛЕКСАНДР ГЛЕБ, ЕГОР Тюменская область г. Тюмень
104;heroes;hero-029;hero_scan_page;False;4;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);photo_collage;has_family_photo | has_multiple_photos;0.85;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
105;heroes;hero-029;hero_scan_page;False;3;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);mixed_material;has_family_photo | has_handwriting;0.75;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
106;heroes;hero-030;hero_title;True;1;False;True;city_missing;person_opener;has_medal_or_award;0.9;True;"editorial_issue:eq-001 (1/7) — титул содержит ТОЛЬКО значок ордена и текст на белом фоне; ОТСУТСТВУЮТ герб региона и карта РФ, присутствующие на всех остальных 76 титулах героев -> вероятно незавершённый/шаблонный слайд | possible_placeholder";НАШ ОТЕЦ ВЯЧЕСЛАВ РУСЛАН, КАМИЛЛА, САБИНА Новосибирская область
107;heroes;hero-030;hero_scan_page;False;4;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);photo_collage;has_medal_or_award | has_family_photo | has_multiple_photos;0.85;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
108;heroes;hero-030;hero_scan_page;False;1;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);handwritten_letter;has_handwriting;0.75;False;короткая записка;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
109;heroes;hero-031;hero_title;True;4;False;False;;;;;;;НАШ ОТЕЦ СЕРГЕЙ ИРИНА, ДАРЬЯ Нижегородская область г. Нижний Новгород
110;heroes;hero-031;hero_scan_page;False;4;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);photo_collage;has_multiple_photos | has_medal_or_award;0.8;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
111;heroes;hero-031;hero_scan_page;False;1;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);handwritten_letter;has_handwriting;0.9;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
112;heroes;hero-032;hero_title;True;4;False;False;;;;;;;МОЙ ОТЕЦ НИКОЛАЙ КИРА Республика Адыгея г. Майкоп
113;heroes;hero-032;hero_scan_page;False;4;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);photo_collage;has_medal_or_award | has_family_photo | has_multiple_photos;0.85;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
114;heroes;hero-032;hero_scan_page;False;1;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);handwritten_letter;has_handwriting;0.75;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
115;heroes;hero-033;hero_title;True;4;False;False;;;;;;;НАШ ОТЕЦ МУРАД ЯСМИНА, УМУКУСУМ Республика Дагестан г. Махачкала
116;heroes;hero-033;hero_scan_page;False;3;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);photo_collage;has_medal_or_award | has_family_photo;0.85;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
117;heroes;hero-033;hero_scan_page;False;1;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);handwritten_letter;has_handwriting;0.9;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
118;heroes;hero-034;hero_title;True;4;False;False;;;;;;;НАШ ОТЕЦ ТИМУР ДАНИЭЛЬ, АЙСЫЛУ Тюменская область г. Тюмень
119;heroes;hero-034;hero_scan_page;False;4;;True;scan_content_not_classified (письмо/фото/рисунок — нужна визуальная разметка);photo_collage;has_family_photo;0.8;False;;Страница без текстового слоя: сканы (рукописное письмо / фото / детский рисунок)
