asset_id;entity_id;asset_type;recommended_upscale_group;priority;recommended_scale;source_width;source_height;face_sensitive;handwriting_sensitive;drawing_sensitive;source_file;expected_derived_file;gigapixel_status;review_status;publish_blocked;notes
hero-001_photo_01;hero-001;photo;photo_face;high;4x_or_auto;291;469;True;False;False;assets/master-from-pdf/heroes/hero-001/photos/hero-001_photo_01_master.png;assets/derived-upscaled/heroes/hero-001/photos/hero-001_photo_01_upscaled.png;pending;not_reviewed;False;
hero-001_photo_02;hero-001;photo;photo_face;high;4x_or_auto;290;470;True;False;False;assets/master-from-pdf/heroes/hero-001/photos/hero-001_photo_02_master.png;assets/derived-upscaled/heroes/hero-001/photos/hero-001_photo_02_upscaled.png;pending;not_reviewed;False;Двое в форме на мероприятии
hero-001_photo_03;hero-001;photo;photo_face;high;4x_or_auto;290;469;True;False;False;assets/master-from-pdf/heroes/hero-001/photos/hero-001_photo_03_master.png;assets/derived-upscaled/heroes/hero-001/photos/hero-001_photo_03_upscaled.png;pending;not_reviewed;False;Подросток держит портрет и награду
hero-001_drawing_01;hero-001;drawing;drawing_child_art;medium;4x_or_auto;416;673;False;False;True;assets/master-from-pdf/heroes/hero-001/drawings/hero-001_drawing_01_master.png;assets/derived-upscaled/heroes/hero-001/drawings/hero-001_drawing_01_upscaled.png;pending;not_reviewed;False;
hero-001_letter_01;hero-001;letter;letter_handwriting;high;4x_or_auto;615;625;False;True;False;assets/master-from-pdf/heroes/hero-001/letters/hero-001_letter_01_master.png;assets/derived-upscaled/heroes/hero-001/letters/hero-001_letter_01_upscaled.png;pending;not_reviewed;False;
hero-001_title_award;hero-001;title;map_or_emblem;low;skip_prefer_vector;121;248;False;False;False;assets/master-from-pdf/heroes/hero-001/title/hero-001_title_award_master.png;assets/derived-upscaled/heroes/hero-001/title/hero-001_title_award_upscaled.png;pending;not_reviewed;False;"Изображение награды — атрибуция FACT_LOCKED; предпочтительно вектор, не апскейлить агрессивно"
hero-001_title_map;hero-001;title;map_or_emblem;low;skip_prefer_vector;1209;625;False;False;False;assets/master-from-pdf/heroes/hero-001/title/hero-001_title_map_master.png;assets/derived-upscaled/heroes/hero-001/title/hero-001_title_map_upscaled.png;pending;not_reviewed;False;Карта России с меткой — будет пересоздана вектором (map-and-emblems-plan)
hero-002_photo_01;hero-002;photo;photo_face;high;4x_or_auto;723;949;True;False;False;assets/master-from-pdf/heroes/hero-002/photos/hero-002_photo_01_master.png;assets/derived-upscaled/heroes/hero-002/photos/hero-002_photo_01_upscaled.png;pending;not_reviewed;False;Девочка на фоне флага с рисунком
hero-002_photo_02;hero-002;photo;photo_face;high;4x_or_auto;741;939;True;False;False;assets/master-from-pdf/heroes/hero-002/photos/hero-002_photo_02_master.png;assets/derived-upscaled/heroes/hero-002/photos/hero-002_photo_02_upscaled.png;pending;not_reviewed;False;Мальчик держит рисунок-сердце
hero-002_photo_03;hero-002;photo;photo_face;high;4x_or_auto;749;986;True;False;False;assets/master-from-pdf/heroes/hero-002/photos/hero-002_photo_03_master.png;assets/derived-upscaled/heroes/hero-002/photos/hero-002_photo_03_upscaled.png;pending;not_reviewed;False;Двое детей на фоне флага с портретом и наградами
hero-002_photo_04;hero-002;photo;photo_face;high;4x_or_auto;722;940;True;False;False;assets/master-from-pdf/heroes/hero-002/photos/hero-002_photo_04_master.png;assets/derived-upscaled/heroes/hero-002/photos/hero-002_photo_04_upscaled.png;pending;not_reviewed;False;Военнослужащий в лесу (герой)
hero-002_drawing_01;hero-002;drawing;drawing_child_art;medium;4x_or_auto;616;839;False;False;True;assets/master-from-pdf/heroes/hero-002/drawings/hero-002_drawing_01_master.png;assets/derived-upscaled/heroes/hero-002/drawings/hero-002_drawing_01_upscaled.png;pending;not_reviewed;False;
hero-002_letter_01;hero-002;letter;letter_handwriting;high;4x_or_auto;1122;878;False;True;False;assets/master-from-pdf/heroes/hero-002/letters/hero-002_letter_01_master.png;assets/derived-upscaled/heroes/hero-002/letters/hero-002_letter_01_upscaled.png;pending;not_reviewed;True;eq-009: письмо про отца «Ильшат», подпись «Максим» — не публиковать в hero-002 до решения. Апскейлить можно (читаемость), но принадлежность спорна.
hero-002_letter_02;hero-002;letter;letter_handwriting;high;4x_or_auto;1367;944;False;True;False;assets/master-from-pdf/heroes/hero-002/letters/hero-002_letter_02_master.png;assets/derived-upscaled/heroes/hero-002/letters/hero-002_letter_02_upscaled.png;pending;not_reviewed;False;
hero-002_letter_03;hero-002;letter;letter_handwriting;high;4x_or_auto;1449;772;False;True;False;assets/master-from-pdf/heroes/hero-002/letters/hero-002_letter_03_master.png;assets/derived-upscaled/heroes/hero-002/letters/hero-002_letter_03_upscaled.png;pending;not_reviewed;False;
hero-002_title_award;hero-002;title;map_or_emblem;low;skip_prefer_vector;121;248;False;False;False;assets/master-from-pdf/heroes/hero-002/title/hero-002_title_award_master.png;assets/derived-upscaled/heroes/hero-002/title/hero-002_title_award_upscaled.png;pending;not_reviewed;False;"Награда — FACT_LOCKED; вектор"
hero-002_title_map;hero-002;title;map_or_emblem;low;skip_prefer_vector;1209;625;False;False;False;assets/master-from-pdf/heroes/hero-002/title/hero-002_title_map_master.png;assets/derived-upscaled/heroes/hero-002/title/hero-002_title_map_upscaled.png;pending;not_reviewed;False;Карта России с меткой — вектор
hero-002_title_map2;hero-002;title;map_or_emblem;low;skip_prefer_vector;605;312;False;False;False;assets/master-from-pdf/heroes/hero-002/title/hero-002_title_map2_master.png;assets/derived-upscaled/heroes/hero-002/title/hero-002_title_map2_upscaled.png;pending;not_reviewed;False;Вторая карта/эмблема — вектор
